date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'RAJAF')","('high', 'RAJAF')","('low', 'RAJAF')","('close', 'RAJAF')","('adj_close', 'RAJAF')","('volume', 'RAJAF')","('currency', '')"
2025-07-15,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-07-16,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-07-17,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-07-18,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-07-21,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-07-22,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-07-23,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-07-24,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-07-25,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-07-28,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-07-29,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-07-30,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-07-31,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-01,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-04,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-05,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-06,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-07,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-08,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-11,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-12,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-13,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-14,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-15,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-18,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-19,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-20,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-21,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-22,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-25,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-26,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-27,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-28,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-08-29,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-02,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-03,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-04,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-05,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-08,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-09,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-10,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-11,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-12,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-15,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-16,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-17,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-18,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-19,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-22,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-23,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-24,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-25,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-26,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-29,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-09-30,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-01,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-02,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-03,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-06,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-07,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-08,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-09,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-10,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-13,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-14,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-15,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-16,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-17,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-20,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-21,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-22,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-23,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-24,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-27,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-28,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-29,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-30,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-10-31,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-03,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-04,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-05,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-06,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-07,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-10,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-11,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-12,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-13,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-14,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-17,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-18,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-19,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-20,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-21,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-24,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-25,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-26,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-11-28,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-01,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-02,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-03,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-04,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-05,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-08,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-09,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-10,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-11,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-12,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-15,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-16,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-17,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-18,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-19,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-22,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-23,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-24,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-26,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-29,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
2025-12-30,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,9.180000305175781,0,,,,,,,,
,RAJAF,RAJAF,RAJAF,RAJAF,RAJAF,RAJAF,,,,,,,,
